time,open,high,low,close,EMA,Volume,K,D,RSI,RSI-based MA,Regular Bullish,Regular Bullish Label,Regular Bearish,Regular Bearish Label
2025-08-31T21:15:00-05:00,107970.52,107981.22,107831.64,107882.77,108076.5037,59.76403415,76.83209302,86.89003606,41.39144363,49.95220372,NaN,NaN,NaN,NaN
2025-08-31T21:20:00-05:00,107882.77,107910.75,107757.52,107767.33,108037.857,28.44833341,NaN,NaN,38.02410609,49.01816659,NaN,NaN,NaN,NaN
2025-08-31T21:25:00-05:00,107767.34,107796.85,107568.04,107685.57,107993.8211,61.13724861,59.94509257,75.77207492,35.80254035,47.78366769,NaN,NaN,NaN,NaN
2025-08-31T21:30:00-05:00,107685.57,107713.72,107529.21,107566.47,107940.4022,27.19132047,NaN,NaN,32.79657347,46.48608927,NaN,NaN,NaN,NaN
2025-08-31T21:35:00-05:00,107566.05,107687.72,107516.73,107587.31,107896.2657,43.59971219,40.77052577,59.18257045,33.84325631,45.03076065,NaN,NaN,NaN,NaN
2025-08-31T21:40:00-05:00,107587.3,107632.98,107540,107562.39,107854.5312,34.38531284,NaN,NaN,33.17781993,43.84147674,NaN,NaN,NaN,NaN
2025-08-31T21:45:00-05:00,107562.05,107633.96,107451.25,107455.88,107804.6998,39.89427099,28.16839588,42.96133808,30.42433606,42.26960026,NaN,NaN,NaN,NaN
2025-08-31T21:50:00-05:00,107462,107648.21,107422.14,107612.97,107780.7336,31.61930964,NaN,NaN,38.52756231,41.03284935,NaN,NaN,NaN,NaN
2025-08-31T21:55:00-05:00,107612.64,107738.55,107559.35,107629.71,107761.8556,49.9159745,30.00139609,32.98010592,39.33834866,40.0976757,NaN,NaN,NaN,NaN
2025-08-31T22:00:00-05:00,107626.04,107735.27,107471.95,107695.4,107753.5487,34.2250215,NaN,NaN,42.54102019,39.87366058,NaN,NaN,NaN,NaN
2025-08-31T22:05:00-05:00,107694.91,107774.9,107627.77,107654.39,107741.1538,27.92335899,36.55016429,31.57331876,41.08276664,39.23463286,NaN,NaN,NaN,NaN
2025-08-31T22:10:00-05:00,107654.39,107667.19,107524.03,107527.32,107714.4246,26.41463113,NaN,NaN,36.86591689,38.40716165,NaN,NaN,NaN,NaN
2025-08-31T22:15:00-05:00,107527.31,107643.12,107472.67,107521.44,107690.3015,19.35166916,41.23213162,35.92789734,36.67830658,37.47465962,NaN,NaN,NaN,NaN
2025-08-31T22:20:00-05:00,107521.44,107550.91,107442.72,107452.51,107660.5776,29.22292739,NaN,NaN,34.46411869,36.78272256,NaN,NaN,NaN,NaN
2025-08-31T22:25:00-05:00,107452.52,107520,107447.48,107498.96,107640.3754,31.4117016,36.93918854,38.24049482,37.21470488,36.48438408,NaN,NaN,NaN,NaN
2025-08-31T22:30:00-05:00,107498.96,107542.73,107405.95,107419.54,107612.771,29.10950911,NaN,NaN,34.54501767,36.23587776,NaN,NaN,NaN,NaN
2025-08-31T22:35:00-05:00,107421.84,107562.06,107392.76,107483.39,107596.5984,17.89031894,30.08990042,36.08707353,38.3726897,36.41945986,NaN,NaN,NaN,NaN
2025-08-31T22:40:00-05:00,107483.4,107559.72,107468.57,107557.19,107591.6723,9.65762662,NaN,NaN,42.55417544,37.11643143,NaN,NaN,NaN,NaN
